user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
1,0,54,1,1,26,23,0.2,0,31,0,1
2,2,33,2,0,141,62,0.34,2,0,1,0
3,1,38,0,2,199,38,0.04,1,0,1,1
4,0,22,1,3,36,2,0.31,1,0,1,0
5,2,29,7,0,250,57,0.36,1,0,1,1
6,0,17,0,1,219,35,0.46,0,13,0,0
7,0,39,6,2,289,44,0.38,0,0,1,0
8,0,41,6,1,210,68,0.11,1,5,0,0
9,2,55,2,3,50,66,0.29,2,0,1,0
10,1,44,2,1,278,94,0.38,1,44,0,0
11,2,33,2,1,86,44,0.11,2,37,0,0
12,2,24,1,1,113,24,0.56,0,39,0,1
13,0,37,4,0,24,86,0.11,0,0,1,0
14,0,53,7,2,45,47,0.6,2,0,1,0
15,2,37,4,0,114,13,0.44,2,0,1,1
16,1,25,3,3,230,25,0.26,0,0,1,0
17,0,36,2,3,181,93,0.23,1,0,1,0
18,1,58,7,0,120,8,0.41,0,0,1,0
19,0,34,2,0,160,32,0.35,1,0,1,0
20,1,35,6,3,281,51,0.35,0,0,1,0
21,0,33,0,3,138,60,0.6,2,0,1,0
22,1,49,0,2,20,7,0.45,0,0,1,0
23,0,45,5,0,138,95,0.1,0,0,1,0
24,1,44,1,0,134,97,0.42,2,0,1,0
25,2,32,1,2,133,22,0.59,0,0,1,0
26,0,19,7,3,39,29,0.53,0,0,1,0
27,1,28,4,1,293,67,0.33,1,23,0,1
28,2,58,3,1,15,55,0.3,1,35,0,0
29,1,33,3,1,123,13,0.22,0,7,0,0
30,0,22,3,2,18,12,0.39,1,0,1,0
31,2,44,6,2,149,45,0.22,2,0,1,0
32,1,53,7,3,72,12,0.17,2,0,1,0
33,0,49,4,2,291,74,0.11,1,0,1,0
34,1,49,7,0,147,52,0.43,2,0,1,0
35,0,55,3,2,18,2,0.04,1,0,1,0
36,2,24,2,1,59,53,0.18,2,28,0,1
37,1,22,2,3,280,99,0.29,0,0,1,0
38,0,50,7,0,117,98,0.04,1,0,1,0
39,0,42,2,0,47,59,0.06,0,0,1,0
40,1,17,2,0,260,44,0.5,0,0,1,1
41,0,51,6,2,122,16,0.54,0,0,1,0
42,0,46,7,3,255,14,0.39,0,0,1,0
43,1,22,2,0,49,39,0.51,1,0,1,0
44,1,37,2,0,90,89,0.4,1,0,1,0
45,1,39,5,0,288,69,0.48,2,0,1,0
46,0,18,5,2,255,3,0.39,2,0,1,0
47,0,56,1,3,255,75,0.58,0,0,1,0
48,1,58,7,0,26,23,0.08,1,0,1,0
49,2,59,7,0,238,60,0.29,0,0,1,0
50,1,50,5,1,241,7,0.56,0,22,0,1
51,0,45,1,2,124,98,0.36,0,0,1,0
52,2,56,3,2,175,67,0.38,2,0,1,0
53,0,38,0,1,41,3,0.0,0,43,0,1
54,1,57,2,1,222,96,0.26,2,15,0,0
55,0,46,6,0,121,71,0.32,0,0,1,0
56,0,41,4,0,277,2,0.59,2,0,1,0
57,2,19,4,1,107,82,0.11,0,12,0,1
58,1,48,3,3,198,63,0.23,0,0,1,0
59,2,22,2,1,59,51,0.42,0,19,0,0
